Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2014,723,124,1211,356,4521,899,623,189,96,2634,1206,157,212,1705,1172,264,332,1077,777,216,1070,1289,1762,517,336,1067,125,125,545,334,1253,547,2300,1358,43,2744,777,522,2732,247,701,63,1269,2601,603,83,980,979,627,853,109
2015,736,122,1274,392,4659,869,800,198,125,3228,1302,169,218,1835,1245,309,329,1273,861,269,1285,1724,1980,581,351,1066,138,126,619,422,1454,501,2754,1567,61,3310,725,505,3264,310,761,65,1457,2588,646,99,1039,1094,725,878,96
2016,756,128,1382,401,4654,942,971,282,269,4728,1394,191,243,2411,1526,314,313,1419,996,353,2044,2227,2347,672,352,1371,119,120,665,481,2056,500,3638,1956,77,4329,813,506,4627,326,879,69,1630,2831,635,125,1405,1102,884,1074,99
2017,835,147,1532,446,4868,1015,1072,338,310,5088,1537,203,236,2778,1852,341,333,1566,1108,424,2247,2168,2694,733,354,1367,119,152,676,467,2685,493,3921,2414,68,5111,775,530,5388,320,1008,73,1776,2989,650,134,1507,1169,974,1177,69
2018,775,110,1670,444,5348,995,1069,401,254,4698,1404,213,250,2722,1629,287,345,1315,1140,345,2324,2241,2591,636,310,1610,125,138,688,452,2900,537,3697,2259,70,3980,716,547,4415,317,1125,57,1823,3005,624,153,1448,1164,856,1079,66
2019,768,132,1907,388,6198,1079,1214,435,311,5268,1408,242,265,2790,1699,352,403,1380,1267,371,2369,2210,2385,792,394,1583,143,161,647,407,2805,599,3617,2266,82,4251,645,615,4377,307,1127,86,2089,3136,571,133,1547,1259,870,1201,79
2020,1029,160,2550,546,8908,1492,1371,444,424,7231,1916,274,287,3549,2321,432,490,2083,1896,496,2771,2302,2759,1050,586,1875,162,214,832,393,2840,784,4965,3146,114,5204,762,803,5168,397,1739,83,3034,4172,622,190,2240,1733,1330,1531,99
