Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,US
2013,142.4,63.7,80.4,120.9,54.4,71.2,67.4,92.7,41.1,73.5,86.6,49.4,89.2,63.7,106.3,72.2,88.7,111.7,112.4,85.9,69.0,63.0,98.9,58.3,119.6,93.3,84.2,71.3,91.1,82.0,58.3,71.4,46.7,96.7,60.1,93.1,123.3,94.2,81.6,76.9,103.0,60.6,127.1,70.0,82.1,52.2,76.6,75.2,129.0,73.8,81.5,
2014,135.2,62.7,79.7,123.2,52.7,69.6,66.0,91.0,40.1,71.4,83.8,47.7,87.4,62.3,96.7,72.3,86.5,110.0,108.9,82.4,67.6,59.6,98.0,56.6,116.3,90.7,80.1,70.1,90.1,79.6,57.2,71.5,43.9,93.7,58.1,89.5,110.9,91.9,79.9,72.8,101.3,61.7,121.3,67.0,78.8,50.4,73.5,74.2,126.4,71.9,80.9,
2015,125.0,60.8,75.5,117.2,47.7,65.1,62.3,84.4,35.7,67.1,79.4,44.3,81.9,59.1,89.1,68.6,80.5,102.6,100.4,76.5,63.0,54.0,90.5,52.1,110.9,84.5,73.3,65.5,85.4,74.8,56.0,69.8,45.1,88.4,53.0,82.7,104.4,84.2,75.5,65.7,95.1,59.1,114.9,59.8,74.4,60.1,68.1,69.8,111.3,67.5,75.4,
2016,121.0,58.9,70.2,114.6,44.8,59.8,55.9,79.2,32.5,66.6,77.8,41.9,77.6,56.8,83.9,64.0,76.9,97.2,98.1,66.9,58.7,47.1,84.9,46.9,105.6,80.4,69.8,62.8,80.7,64.3,52.6,65.1,42.7,82.5,47.8,75.3,97.9,76.3,69.5,60.3,89.4,54.8,107.5,57.6,70.4,58.6,63.4,64.9,96.0,62.2,71.1,
2017,108.8,52.0,60.8,106.1,39.8,52.4,48.6,68.6,28.4,61.5,71.3,38.2,70.3,51.4,75.7,56.7,70.3,88.1,89.8,55.5,52.0,40.0,75.5,40.8,93.4,72.2,61.3,56.6,73.2,52.5,45.0,56.4,38.3,72.2,41.7,63.8,88.6,65.8,58.3,51.4,79.8,48.8,95.2,52.2,63.8,50.0,53.3,57.1,82.2,52.7,64.4,59.0
2018,97.5,44.9,50.7,93.5,35.1,45.1,43.0,60.6,25.0,53.7,63.2,33.4,61.9,45.2,65.8,49.3,64.3,79.5,79.4,48.1,45.1,35.3,62.7,35.5,76.8,63.4,54.0,50.6,55.5,46.1,38.9,49.4,34.0,61.5,37.4,53.5,79.1,57.3,49.9,43.0,69.2,42.6,81.8,47.2,57.1,42.4,44.8,49.3,69.3,45.8,57.1,51.4
2019,85.8,39.1,44.1,80.9,30.9,40.0,40.5,51.6,39.9,45.4,57.9,30.3,53.4,43.1,60.4,43.0,63.7,72.3,74.6,44.1,42.3,35.4,58.0,32.1,67.0,58.3,48.2,50.3,49.4,38.1,34.8,43.4,34.8,56.7,38.8,50.8,66.0,49.1,47.0,40.3,60.4,43.9,74.6,42.1,51.4,36.9,40.7,42.7,59.4,42.5,49.7,46.7
